Code,Name_KR,Name_EN,Category(존재),Subcategory,Main_Function(기능),Ambiguity,Note,Description(사전식 설명),CHECK_DUP,Has_Rule,Rule_ID,,intensity,Volatility,Dominance,Pairing,Avoid_pairing,Usage_position,,,,,
034,미네랄 플레이크 소금,Mineral Flake Salt,Salty,Flake Salt (플레이크 소금),Salty,-,원천형,미네랄 함량이 높은 원천에서 형성된 플레이크 소금으로 풍미와 색감이 특징인 마무리용 소금,-,-,-,,,,,,,,,,,,
040,액상 소금,Liquid Salt,Salty,Liquid Salt (액상 소금),Salty,-,상위군,액체 상태로 존재하여 빠르게 균일 분산되고 브라인·소스·액상 조절에 적합한 소금 계열,-,-,-,,,,,,,,,,,,
041,염수,Brine,Salty,Liquid Salt (액상 소금),Salty,-,용액형,"물에 소금이 용해된 용액 형태로 절임, 숙성, 수분 유지에 사용되는 기본 액상 소금",-,-,-,,,,,,,,,,,,
042,액상 소금 추출물,Liquid Salt Extract,Salty,Liquid Salt (액상 소금),Salty,-,가공형,소금을 물에 녹이거나 농축·추출하여 만든 액상 형태의 소금으로 균일한 염도 조절과 빠른 분산에 적합,-,-,-,,,,,,,,,,,,
043,향미 액상 소금,Flavored Liquid Salt,Salty,Liquid Salt (액상 소금),Salty+Aroma,Salty vs Aroma,향 첨가형,"허브, 향신료, 트러플 등 향미가 첨가된 액상 소금으로 염도와 향을 동시에 제공",-,-,-,,,,,,,,,,,,
044,기능성 액상 소금,Functional Liquid Salt,Salty,Liquid Salt (액상 소금),Salty,-,상위군,"첨가물 또는 가공을 통해 기능이 강화된 액상 소금 계열 (예: 미네랄 강화, 전해질 보강 등)",-,-,-,,,,,,,,,,,,
100,감칠맛,Umami,Umami,Umami (감칠맛),Umami,-,상위군,단백질 분해 및 핵산 계열에서 유래한 깊고 지속적인 풍미를 형성하는 기본 맛 기능,-,-,-,,,,,,,,,,,,
110,발효 베이스 감칠,Fermented Base Umami,Umami,Fermented Base Umami,Umami,-,중분류,미생물 발효 과정을 통해 생성된 아미노산·핵산 계열의 감칠맛을 제공하는 재료군,-,-,-,,,,,,,,,,,,
111,간장,Soy Sauce,Umami,Fermented Base Umami,Umami,-,소군,발효 액상 감칠 베이스의 대표 군. 콩과 곡물 발효로 생성된 액상 조미료로 깊은 감칠맛과 염도를 동시에 제공,-,-,-,,,,,,,,,,,,
111.01,진간장,Dark Soy Sauce,Umami,Fermented Base Umami,Umami,-,실제 재료/장시간 숙성형,색과 밸런스를 주는 발효 간장. 장시간 발효·숙성으로 색이 진하고 감칠맛이 깊으며 염도도 함께 제공되는 간장,-,-,-,,,,,,,,,,,,
111.02,국간장,Soup Soy Sauce,Umami,Fermented Base Umami,Umami,-,실제 재료/국물용,국물용으로 쓰이는 맑고 날카로운 발효 간장. 염도가 높고 색이 연해 국물 요리의 간과 감칠맛을 동시에 맞추는 간장,-,-,-,,,,,,,,,,,,
111.03,양조간장,Brewed Soy Sauce,Umami,Fermented Base Umami,Umami,-,실제 재료/발효형,양조 발효 중심의 부드러운 간장. 콩과 곡물을 전통 발효로 제조해 향·감칠맛이 균형 잡힌 간장,-,-,-,,,,,,,,,,,,
111.04,기타 간장,Other Soy Sauce,Umami,Fermented Base Umami,Umami,-,확장형,"혼합간장, 저염간장 등 특정 용도나 제조 방식에 따라 분류되지 않은 기타 간장류",-,-,-,,,,,,,,,,,,
112,발효 콩 페이스트 ,Doenjang / Miso,Umami,Fermented Base Umami,Umami,-,소군,발효 페이스트 감칠 베이스의 대표 군. 콩 발효를 기반으로 한 페이스트 형태의 조미료로 깊고 지속적인 감칠맛을 제공,-,-,-,,,,,,,,,,,,
112.01,된장,Doenjang,Umami,Fermented Base Umami,Umami,-,실제 재료/전통 발효형,대두 발효를 통해 깊은 감칠 베이스를 만드는 한국식 발효장. 콩을 발효하여 만든 페이스트 형태의 조미료로 깊은 감칠맛과 염도를 동시에 제공,-,-,-,,,,,,,,,,,,
112.02,미소,Miso,Umami,Fermented Base Umami,Umami,-,실제 재료/일본 발효형,곡물과 대두 발효를 통해 형성된 일본식 발효 페이스트. 쌀·보리·콩 등을 발효해 만든 페이스트로 부드럽고 깊은 감칠맛과 염도를 동시에 제공,-,-,-,,,,,,,,,,,,
112.03,기타 발효장,Other Fermented Paste,Umami,Fermented Base Umami,Umami,-,확장형,된장과 미소 외의 발효 페이스트 장류. 된장·미소 외 다양한 콩/곡물 발효 페이스트로 지역·원료에 따라 풍미가 다른 감칠맛 조미료,-,-,-,,,,,,,,,,,,
113,액젓,Fish Sauce,Umami,Fermented Base Umami,Umami,-,소군,발효 해산물 감칠 베이스의 대표 군. 어류를 염장·발효하여 얻은 액상 조미료로 강한 감칠맛과 염도를 동시에 제공,-,-,-,,,,,,,,,,,,
113.01,멸치액젓,Anchovy Fish Sauce,Umami,Fermented Base Umami,Umami,-,실제 재료/원천형,멸치를 염장·발효하여 만든 액상 조미료로 강한 감칠맛과 염도를 제공,-,-,-,,,,,,,,,,,,
113.02,까나리액젓,Sand Lance Fish Sauce,Umami,Fermented Base Umami,Umami,-,실제 재료/원천형,까나리를 염장·발효하여 만든 액상 조미료로 깊은 감칠맛과 염도를 제공,-,-,-,,,,,,,,,,,,
113.03,새우액젓,Shrimp Fish Sauce,Umami,Seafood Fermented Sauce,Umami,해산물 발효 액젓 계열,강한 해산물 발효향,새우를 발효하여 만든 감칠 조미 액체,-,-,-,,,,,,,High,Medium,High,"칠리,마늘",유제품,후반
113.04,베트남 피쉬소스,Vietnamese Fish Sauce,Umami,Fermented Fish Sauce,Umami,동남아 피쉬소스 계열,강한 발효 어류향,동남아식 발효 어류 기반 액상 감칠 조미료,-,-,-,,,,,,,High,High,High,"라임,허브",유제품,후반
113.05,기타 액젓,Other Fish Sauce,Umami,Fermented Base Umami,Umami,-,확장형,멸치·까나리 외 다양한 어류를 염장·발효하여 만든 액상 조미료,-,-,-,,,,,,,,,,,,
114,발효 장 페이스트,Fermented Paste Base,Umami,Fermented Base Umami,Umami,높음,임시 군,고추장·삼발·초고추장 등 복합 발효 장류를 임시로 담는 군,검토 필요,-,-,,,,,,,,,,,,
114.01,고추장,Gochujang,Umami,Fermented Base Umami,Umami,높음,복합 발효형 재료,"발효 콩 기반에 고추와 곡물 당화가 결합된 한국식 발효 장류. 고추·콩·곡물을 함께 발효한 페이스트로 감칠맛, 단맛, 매운맛, 염도를 동시에 제공하는 복합 조미료",검토 필요,-,-,,,,,,,,,,,,
114.02,삼발소스,Sambal Sauce,Umami,Fermented Base Umami,Umami,높음,복합 소스형 재료,"고추 기반의 복합 조미 소스로 발효 여부와 유형 차이 검토 필요. 고추, 염장 재료, 발효 성분 등을 기반으로 한 동남아식 소스로 감칠맛과 매운맛, 염도를 동시에 제공",검토 필요,-,-,,,,,,,,,,,,
114.03,초고추장,Chogochujang,Umami,Fermented Base Umami,Umami,높음,복합 재료,"고추장에 식초와 당류가 더해진 복합 장류. 고추장에 식초와 당류를 혼합한 소스로 감칠맛, 단맛, 매운맛, 산미, 염도를 동시에 제공하는 복합 조미료",검토 필요,-,-,,,,,,,,,,,,
114.04,쌈장,Ssamjang,Umami,Fermented Paste,Umami+Heat,된장+고추장 복합,복합 장류,된장과 고추장을 혼합한 한국식 발효 장 페이스트,-,-,-,,,,,,,High,Low,High,"마늘,참기름",유제품,중반
120,동물성 베이스 감칠,Animal Base Umami,Umami,Animal Base Umami,Umami,-,중분류,육류·어류 기반의 직접적인 감칠 베이스 구조. 육류·해산물 등 동물성 원재료에서 유래한 감칠맛으로 깊고 진한 풍미를 형성하는 재료군,-,-,-,,,,,,,,,,,,
121,육수/스톡,Stock / Broth,Umami,Animal Base Umami,Umami,-,소군/추출형,동물성 감칠 베이스의 대표 군. 고기·뼈 등을 끓여 추출한 액상으로 깊고 진한 감칠맛을 제공하는 기본 조리 베이스,-,-,-,,,,,,,,,,,,
121.01,닭 육수,Chicken Stock,Umami,Animal Base Umami,Umami,-,실제 재료,닭을 기반으로 우려낸 동물성 감칠 베이스 닭 뼈와 살을 끓여 감칠맛을 추출한 육수로 깔끔하면서도 깊은 풍미를 제공하는 기본 조리 베이스,-,-,-,,,,,,,,,,,,
121.02,소 육수,Beef Stock,Umami,Animal Base Umami,Umami,-,실제 재료,소고기 또는 소뼈를 기반으로 우려낸 동물성 감칠 베이스. 소의 뼈와 고기를 끓여 감칠맛을 추출한 육수로 깊고 진한 풍미를 제공하는 기본 조리 베이스,-,-,-,,,,,,,,,,,,
121.03,건어물 육수,Dried Fish Stock,Umami,Animal Base Umami,Umami,중간/건조원료기반,경계 항목,"건어물 기반 육수로 직접 베이스와 건조 재료 경계 검토 가능. 멸치, 다시마, 건새우 등 건조된 해산물을 우려내어 감칠맛을 추출한 육수로 깔끔하고 선명한 풍미를 제공하는 베이스",검토 필요,-,-,,,,,,,,,,,,
121.04,해산물 육수,Seafood Stock,Umami,Animal Base Umami,Umami,신선해산물기반,실제 재료,"해산물을 기반으로 우려낸 동물성 감칠 베이스. 생선, 조개, 갑각류 등 신선한 해산물을 끓여 감칠맛을 추출한 육수로 풍부하고 복합적인 바다 풍미를 제공하는 베이스",-,-,-,,,,,,,,,,,,
121.05,혼합 육수,Mixed Stock,Umami,Animal Base Umami,Umami,복합원료기반,확장형,둘 이상의 동물성 재료가 혼합된 감칠 베이스 육수. 육류와 해산물 또는 다양한 동물성 재료를 함께 끓여 감칠맛을 복합적으로 추출한 육수로 균형 잡힌 깊은 풍미를 제공하는 베이스,-,-,-,,,,,,,,,,,,
121.06,사골 육수,Bone Broth,Umami,Animal Base Umami,Umami,콜라겐/점도 포함,실제 재료,"뼈를 오래 우려 진한 동물성 감칠을 내는 육수. 뼈를 장시간 끓여 콜라겐과 진한 감칠맛, 점도를 함께 추출한 육수로 깊은 바디감을 제공하는 베이스",-,-,-,,,,,,,,,,,,
121.07,훈연 육수,Smoked Stock,Umami,Animal Umami (동물성 감칠맛),Umami+Smoky,훈연 성분 포함,추출형,훈연된 재료 또는 훈연 공정을 통해 연기 향과 감칠맛이 결합된 육수,-,-,-,,,,,,,,,,,,
121.08,치킨스톡,Chicken Stock,Umami,Animal Stock,Umami,닭 육수 농축형,육수 베이스,닭 기반 감칠 성분을 농축한 조리 베이스,-,-,-,,,,,,,Medium,Low,High,"후추,허브",과한 산미,초반
130,식물성 베이스 감칠,Plant Base Umami,Umami,Plant Base Umami,Umami,-,중분류,식물성 원재료가 직접 만드는 감칠 베이스 구조,-,-,-,,,,,,,,,,,,
131,해조류,Seaweed,Umami,Plant Base Umami,Umami,-,소군,식물성 감칠 베이스의 대표 해조류 군,-,-,-,,,,,,,,,,,,
131.01,다시마,Kelp,Umami,Plant Base Umami,Umami,-,실제 재료,해조류 기반의 대표적인 식물성 감칠 베이스 재료,-,-,-,,,,,,,,,,,,
131.02,기타 해조류,Other Seaweed,Umami,Plant Base Umami,Umami,-,확장형,다시마 외 식물성 감칠을 제공하는 해조류,-,-,-,,,,,,,,,,,,
132,버섯,Mushroom,Umami,Plant Base Umami,Umami,-,소군,식물성 감칠 베이스의 대표 버섯 군,-,-,-,,,,,,,,,,,,
132.01,표고버섯,Shiitake Mushroom,Umami,Plant Base Umami,Umami,-,실제 재료,버섯류 기반의 대표적인 식물성 감칠 베이스 재료,-,-,-,,,,,,,,,,,,
132.02,기타 버섯,Other Mushroom,Umami,Plant Base Umami,Umami,-,확장형,표고 외 식물성 감칠을 제공하는 버섯류,-,-,-,,,,,,,,,,,,
133,토마토,Tomato,Umami,Plant Base Umami,Umami,-,소군,산미와 함께 감칠을 제공하는 식물성 베이스 군,-,-,-,,,,,,,,,,,,
133.01,토마토,Tomato,Umami,Plant Base Umami,Umami,-,실제 재료,산미와 함께 감칠을 제공하는 대표 식물성 재료,-,-,-,,,,,,,,,,,,
134,기타 식물성 베이스,Other Plant Base,Umami,Plant Base Umami,Umami,중간,소군,"해조류, 버섯, 토마토 외의 식물성 원재료가 직접 형성하는 감칠 베이스 군",-,-,-,,,,,,,,,,,,
134.01,채소육수,Vegetable Stock,Umami,Plant Base Umami,Umami,중간,실제 재료,채소를 기반으로 우려낸 식물성 감칠 베이스,-,-,-,,,,,,,,,,,,
134.02,양파,Onion,Umami,Plant Base Umami,Umami,중간,경계 항목,단독 재료이면서 식물성 베이스 형성 재료로도 작동함,검토 필요,-,-,,,,,,,,,,,,
134.03,셀러리,Celery,Umami,Plant Base Umami,Umami,중간,경계 항목,단독 재료이면서 식물성 베이스 형성 재료로도 작동함,검토 필요,-,-,,,,,,,,,,,,
134.04,당근,Carrot,Umami,Plant Base Umami,Umami,중간,경계 항목,단독 재료이면서 식물성 베이스 형성 재료로도 작동함,검토 필요,-,-,,,,,,,,,,,,
134.05,대파,Scallion,Umami,Plant Base Umami,Umami,중간,경계 항목,향미 채소이면서 식물성 베이스 형성 재료로도 작동함,검토 필요,-,-,,,,,,,,,,,,
140,농축/추출 베이스 감칠,Concentrated / Extracted Base Umami,Umami,Concentrated / Extracted Base Umami,Umami,-,중분류,원재료를 농축하거나 추출해 밀도를 높인 감칠 베이스 구조,-,-,-,,,,,,,,,,,,
141,식물성 농축/추출 감칠,Plant Concentrated / Extracted Umami,Umami,Concentrated / Extracted Base Umami,Umami,-,소군,식물성 원재료를 농축·추출한 감칠 베이스 군,-,-,-,,,,,,,,,,,,
141.01,토마토페이스트,Tomato Paste,Umami,Concentrated / Extracted Base Umami,Umami,-,실제 재료,토마토를 농축해 감칠과 밀도를 높인 식물성 감칠 재료,-,-,-,,,,,,,,,,,,
141.02,버섯가루,Mushroom Powder,Umami,Concentrated / Extracted Base Umami,Umami,-,실제 재료,버섯 감칠을 건조·분말화한 식물성 농축 감칠 재료,-,-,-,,,,,,,,,,,,
141.03,해조류 농축,Seaweed Concentrate,Umami,Concentrated / Extracted Base Umami,Umami,-,실제 재료,해조류 감칠을 농축한 식물성 감칠 재료,-,-,-,,,,,,,,,,,,
141.04,효모추출물,Yeast Extract,Umami,Concentrated / Extracted Base Umami,Umami,중간,경계 항목,식물성으로 볼지 별도 축으로 볼지 재검토 가능하나 현재는 농축 감칠로 임시 배치,검토 필요,-,-,,,,,,,,,,,,
141.05,연두,Yeondu,Umami,Vegetable Extract Umami,Umami,채소 추출 감칠액,채소 감칠,채소 추출 기반의 액상 감칠 조미료,-,-,-,,,,,,,Medium,Medium,Medium,"버섯,양파",강한 향신료,중반
142,동물성 농축/추출 감칠,Animal Concentrated / Extracted Umami,Umami,Concentrated / Extracted Base Umami,Umami,-,소군,동물성 원재료를 농축·추출한 감칠 베이스 군. 육류에서 감칠 성분을 추출·농축한 재료로 직접적인 감칠 보강에 사용됨,-,-,-,,,,,,,,,,,,
142.01,소고기다시다,Beef Stock Powder,Umami,Concentrated / Extracted Base Umami,Umami,중간,상품명 성격/복합 추출형,소고기 기반 농축 감칠 조미료. 소고기 기반 감칠 성분을 추출·농축하고 조미 성분을 배합한 분말형 감칠 조미료,검토 필요,-,-,,,,,,,,,,,,
142.02,멸치다시다,Anchovy Stock Powder,Umami,Concentrated / Extracted Base Umami,Umami,중간,상품명 성격,멸치 기반 농축 감칠 조미료. 멸치 기반 감칠 성분을 추출·농축하고 조미 성분을 배합한 분말형 감칠 조미료,검토 필요,-,-,,,,,,,,,,,,
142.03,굴소스,Oyster Sauce,Umami,Concentrated / Extracted Base Umami,Umami,높음,발효/농축 경계,"굴 기반의 농축 감칠 소스로 발효 축과 경계 검토 가능. 굴 추출물에 당, 전분, 간장 등을 혼합하여 감칠, 단맛, 염도를 동시에 제공하는 농축 조미소스",검토 필요,-,-,,,,,,,,,,,,
142.04,기타 동물성 추출 감칠,Other Animal Extract Umami,Umami,Concentrated / Extracted Base Umami,Umami,-,확장형,기타 동물성 원재료 기반 농축/추출 감칠,-,-,-,,,,,,,,,,,,
150,순수 감칠 보강,Pure Umami Booster,Umami,Pure Umami Booster,Umami,-,중분류,분리된 감칠 성분으로 직접 감칠을 보강하는 구조,-,-,-,,,,,,,,,,,,
150.01,MSG,MSG,Umami,Pure Umami Booster,Umami,-,기준형/정제 성분형,가장 대표적인 직접 감칠 성분. 글루탐산나트륨 형태로 직접적인 감칠맛을 제공하는 대표적 순수 감칠 재료,-,-,-,,,,,,,,,,,,
150.02,이노신산나트륨,Disodium Inosinate,Umami,Pure Umami Booster,Umami,-,보강형/핵산계 성분형,MSG와 결합해 감칠을 증폭시키는 핵산계 조미 성분. 핵산 계열의 감칠 성분으로 다른 감칠 재료와 함께 사용되어 풍미를 증폭시키는 재료,-,-,-,,,,,,,,,,,,
150.03,구아닐산나트륨,Disodium Guanylate,Umami,Pure Umami Booster,Umami,-,보강형/핵산계 성분형,직접 감칠을 강화하는 핵산계 조미 성분. 핵산 계열의 감칠 성분으로 다른 감칠 재료와 함께 사용되어 풍미를 강화하는 재료,-,-,-,,,,,,,,,,,,
200,산미,Acidity,Acid,Acid (산미),Acid,-,상위군,음식의 산도를 형성하여 맛의 균형과 선명도를 높이는 기본 맛 요소,-,-,-,,,,,,,,,,,,
210,식초,Acetic Acid,Acid,Acetic Acid (식초 산미),Acid,-,상위군,초산 기반 산미 전체,-,-,-,,,,,,,,,,,,
211,쌀식초,Rice Vinegar,Acid,Acetic Acid (식초 산미),Acid,-,기본형,쌀 발효 기반 식초로 부드러운 산미,-,-,-,,,,,,,,,,,,
212,사과식초,Apple Cider Vinegar,Acid,Acetic Acid (식초 산미),Acid+Fruit,-,과실형,사과 발효 식초,-,-,-,,,,,,,,,,,,
213,화이트식초,White Vinegar,Acid,Acetic Acid (식초 산미),Acid,-,정제형,정제된 강한 산미 식초,-,-,-,,,,,,,,,,,,
214,발사믹식초,Balsamic Vinegar,Acid,Acetic Acid (식초 산미),Acid+Sweet,Acid vs Sweet,숙성형,포도 기반 숙성 식초,-,-,-,,,,,,,,,,,,
214.01,발사믹 글레이즈,Balsamic Glaze,Acid,Acetic Acid (식초 산미),Acid+Sweet,Acid vs Sweet,농축형,발사믹 식초를 농축하여 단맛과 점도를 강화한 소스,-,-,-,,,,,,,,,,,,
215,흑식초,Black Vinegar,Acid,Acetic Acid (식초 산미),Acid+Umami,-,발효형,곡물 발효 기반 깊은 풍미 식초,-,-,-,,,,,,,,,,,,
216,산미 기반 가공 소스,Acid-Based Sauce,Acid,Acetic Acid (식초 산미),Acid+Complex,Acid vs Other,상위군,"식초 기반 산미에 다른 맛 요소(매운맛, 단맛 등)가 결합된 복합 조미소스",-,-,-,,,,,,,,,,,,
216.01,타바스코,Tabasco,Acid,Acetic Acid (식초 산미),Acid+Heat,Acid vs Heat,핫소스형,식초 기반 산미에 고추의 매운 자극이 결합된 대표적인 액상 핫소스,-,-,-,,,,,,,,,,,,
216.02,스리라차,Sriracha,Acid,Hot Chili Sauce,Heat+Acid,칠리소스 계열,산미 기반 매운맛,고추와 식초 기반의 점도 있는 핫소스,-,-,-,,,,,,,High,Medium,High,"마늘,설탕",유제품,후반
216.03,루이지애나 핫소스,Louisiana Hot Sauce,Acid,Vinegar Hot Sauce,Heat+Acid,식초 중심 핫소스,강한 산미,식초와 고추 기반의 묽은 미국식 핫소스,-,-,-,,,,,,,High,High,Medium,튀김류,크림소스,후반
216.04,버팔로소스,Buffalo Sauce,Acid,Butter Hot Sauce,Heat+Lipid,버터 혼합 핫소스,지방감 동반 매운맛,버터와 핫소스를 혼합한 미국식 소스,-,-,-,,,,,,,High,Medium,High,"치킨,버터",과한 산미,후반
216.05,페리페리소스,Peri-Peri Sauce,Acid,Chili Herb Sauce,Heat+Herb,허브 기반 칠리소스,허브성 매운맛,고추와 허브를 기반으로 한 아프리카 계열 매운 소스,-,-,-,,,,,,,High,High,Medium,"치킨,레몬",된장류,후반
220,구연산 계열 산미,Citric Acid Type,Acid,Citric Acid (구연산),Acid,-,상위군,구연산을 중심으로 한 산미로 밝고 선명하며 즉각적인 산미를 제공하는 계열,-,-,-,,,,,,,,,,,,
221,레몬,Lemon,Acid,Citric Acid (구연산),Acid,-,기본형,대표적인 구연산 기반 산미 재료로 밝고 선명한 산미 제공,-,-,-,,,,,,,,,,,,
222,라임,Lime,Acid,Citric Acid (구연산),Acid,-,강산형,레몬보다 더 강하고 날카로운 구연산 산미 제공,-,-,-,,,,,,,,,,,,
223,유자,Yuzu,Acid,Citric Acid (구연산),Acid+Aroma,-,향강화형,강한 향과 함께 구연산 산미를 제공하는 감귤류,-,-,-,,,,,,,,,,,,
224,오렌지,Orange,Acid,Citric Acid (구연산),Acid+Sweet,Acid vs Sweet,완화형,단맛과 함께 부드러운 구연산 산미 제공,-,-,-,,,,,,,,,,,,
225,자몽,Grapefruit,Acid,Citric Acid (구연산),Acid+Bitter,Acid vs Bitter,복합형,쓴맛과 산미가 결합된 감귤류 산미,-,-,-,,,,,,,,,,,,
226,구연산,Citric Acid,Acid,Citric Acid (구연산),Acid,-,정제형,구연산을 분리·정제한 형태로 직접적인 산미를 제공하는 재료,-,-,-,,,,,,,,,,,,
230,젖산 계열 산미,Lactic Acid Type,Acid,Lactic Acid (젖산),Acid,-,상위군,발효 과정에서 생성된 젖산을 중심으로 부드럽고 둥근 산미를 제공하는 계열,-,-,-,,,,,,,,,,,,
231,요거트,Yogurt,Acid,Lactic Acid (젖산),Acid+Creamy,Acid vs Fat,유제품형,유산균 발효로 생성된 젖산을 기반으로 부드럽고 크리미한 산미를 제공하는 대표적 재료,-,-,-,,,,,,,,,,,,
232,치즈,Cheese,Acid,Lactic Acid (젖산),Acid+Fat,Acid vs Fat,유제품형,유산균 발효로 생성된 젖산과 지방이 결합되어 부드럽고 깊은 산미와 풍미를 제공하는 발효 유제품,-,-,-,,,,,,,,,,,,
233,발효 채소,Fermented Vegetables,Acid,Lactic Acid (젖산),Acid+Umami,-,발효형,채소 발효를 통해 생성된 젖산 기반 산미와 감칠맛을 동시에 제공하는 재료군,-,-,-,,,,,,,,,,,,
233.01,김치,Kimchi,Acid,Lactic Acid (젖산),Acid+Umami,-,대표형,발효 채소로서 산미와 감칠맛을 동시에 제공하며 요리에 기능적으로 사용 가능한 재료,-,-,-,,,,,,,,,,,,
233.02,케이퍼,Capers,Ingredient,발효 채소,Aroma+Acid+Salt,식초절임 vs 발효 혼재,절임 채소형 산미 보정 재료,"미개화 꽃봉오리를 소금 또는 식초에 절여 만든 식재료로, 강한 산미와 염도를 통해 음식의 풍미를 선명하게 조정하는 역할을 한다.",N,Y,-,75,60,중,"생선, 샐러드, 크림소스, 올리브오일 요리","강한 단맛 디저트, 과한 발효 식품",마무리 / 토핑 / 후반 투입,,,,,,
234,기타 젖산 재료,Other Lactic Ingredients,Acid,Lactic Acid (젖산),Acid+Varies,-,기타형,"유산 발효 기반이지만 특정 카테고리(요거트, 치즈, 발효채소)에 명확히 속하지 않는 젖산 재료군",-,-,-,,,,,,,,,,,,
234.01,사워크림,Sour Cream,Acid,Lactic Acid (젖산),Acid+Fat,Acid vs Fat,유제품형,유산 발효로 생성된 젖산 기반의 부드럽고 지방감 있는 산미 재료,-,-,-,,,,,,,,,,,,
234.02,버터밀크,Buttermilk,Acid,Lactic Acid (젖산),Acid+Creamy,Acid vs Fat,유제품형,유산 발효로 생성된 젖산 기반의 묽은 유제품으로 부드러운 산미와 크리미한 질감을 제공,-,-,-,,,,,,,,,,,,
