code,name_kr,salty,umami,acid,sweet,bitter,heat,herb,spice,lipid,texture,note,impact_speed,Lasting_power
121.02,소 육수,5,90,0,0,0,0,0,0,10,5,진하고 묵직한 육향 감칠,,
121.03,건어물 육수,5,90,0,0,0,0,0,0,5,5,건어물 기반의 응축된 감칠,,
121.04,해산물 육수,5,90,0,0,0,0,0,0,5,5,해산물 특유의 선명한 감칠,,
121.05,혼합 육수,5,90,0,0,0,0,0,0,5,5,여러 베이스가 혼합된 복합 감칠 육수,,
121.06,사골 육수,5,85,0,0,0,0,0,0,15,10,지방감과 점성이 동반된 깊은 육수,,
121.07,훈연 육수,5,85,0,0,5,0,0,5,10,5,훈연향이 더해진 동물성 감칠 육수,,
121.08,치킨스톡,15,85,0,0,5,0,5,10,10,40,닭 기반 감칠 성분을 농축한 조리 베이스,,
130,식물성 베이스 감칠,0,80,0,5,0,0,5,0,0,10,식물성 재료 기반의 자연스러운 감칠 베이스,,
131,해조류,0,90,0,0,0,0,0,0,0,5,해조류 기반의 맑고 선명한 감칠,,
131.01,다시마,0,95,0,0,0,0,0,0,0,5,대표적인 식물성 고감칠 베이스,,
131.02,기타 해조류,0,90,0,0,0,0,0,0,0,5,기타 해조류 기반 감칠,,
132,버섯,0,85,0,0,0,0,5,0,0,10,버섯향이 동반되는 식물성 감칠,,
132.01,표고버섯,0,90,0,0,0,0,5,0,0,10,향과 감칠이 함께 살아있는 버섯 감칠,,
132.02,기타 버섯,0,85,0,0,0,0,5,0,0,10,기타 버섯류 감칠,,
133,토마토,0,80,10,10,0,0,0,0,0,10,산미와 단맛을 동반한 식물성 감칠,,
133.01,토마토,0,80,10,10,0,0,0,0,0,10,감칠과 산미가 함께 있는 과채류 베이스,,
134,기타 식물성 베이스,0,75,0,5,0,0,5,0,0,10,기타 채소 기반 감칠 보조군,,
134.01,채소육수,0,80,0,5,0,0,5,0,0,5,채소를 우려낸 액상 베이스,,
134.02,양파,0,75,0,10,0,0,5,0,0,10,단맛과 향을 겸하는 감칠 보조 채소,,
134.03,셀러리,0,75,0,0,5,0,5,0,0,10,향과 약한 쌉쌀함이 동반되는 채소 베이스,,
134.04,당근,0,70,0,15,0,0,0,0,0,10,단맛 중심의 식물성 베이스,,
134.05,대파,0,75,0,5,0,0,5,5,0,10,향채 성격이 강한 감칠 보조 채소,,
140,농축/추출 베이스 감칠,5,95,0,0,0,0,0,0,0,5,농축 또는 추출로 감칠이 강화된 베이스,,
141,식물성 농축/추출 감칠,0,90,0,5,0,0,5,0,0,5,식물성 원료를 농축해 감칠을 강화한 계열,,
141.01,토마토페이스트,0,90,10,10,0,0,0,0,0,5,농축으로 감칠과 산미가 강화된 토마토,,
141.02,버섯가루,0,90,0,0,0,0,5,0,0,5,건조/분말화로 감칠이 농축된 버섯,,
141.03,해조류 농축,0,95,0,0,0,0,0,0,0,5,해조류 감칠을 응축한 형태,,
141.04,효모추출물,0,95,0,0,0,0,0,0,0,5,강한 식물성 추출 감칠 성분,,
141.05,연두,20,70,5,10,0,0,10,5,0,15,채소 추출 기반의 감칠 조미액,,
142,동물성 농축 감칠,5,95,0,0,0,0,0,0,5,5,동물성 원료를 농축·추출해 감칠을 강화한 계열,,
142.01,소고기다시다,5,95,0,0,0,0,0,0,5,5,소고기 풍미가 강화된 복합 감칠 조미료,,
142.02,멸치다시다,5,95,0,0,0,0,0,0,5,5,멸치 풍미가 강화된 복합 감칠 조미료,,
142.03,굴소스,10,90,0,5,0,0,0,0,5,5,점성과 단맛을 동반한 해산 감칠 소스,,
142.04,기타 동물성 추출,5,90,0,0,0,0,0,0,5,5,기타 동물성 농축·추출 감칠류,,
150,순수 감칠 보강,0,100,0,0,0,0,0,0,0,0,순수 감칠 기능만 직접 보강하는 계열,,
150.01,MSG,0,100,0,0,0,0,0,0,0,0,대표적인 순수 감칠 증폭 성분,,
150.02,이노신산나트륨,0,100,0,0,0,0,0,0,0,0,핵산계 감칠 보강 성분,,
150.03,구아닐산나트륨,0,100,0,0,0,0,0,0,0,0,핵산계 감칠 보강 성분,,
200,산미,0,0,100,0,0,0,0,0,0,5,산미 카테고리 대표값,,
210,식초,5,0,95,0,0,0,0,0,0,5,대표적인 산미 조절 액상 조미 재료,,
211,쌀식초,0,0,85,0,0,0,0,0,0,5,부드럽고 비교적 둥근 식초형 산미,,
212,사과식초,0,0,85,5,0,0,0,0,0,5,과일 인상이 약하게 동반되는 식초형 산미,,
213,화이트식초,0,0,95,0,0,0,0,0,0,0,가장 직선적이고 날카로운 식초형 산미,,
214,발사믹식초,0,5,80,15,0,0,0,0,0,10,감칠과 단맛이 동반되는 농축형 식초 산미,,
214.01,발사믹 글레이즈,0,5,65,40,5,0,0,0,0,20,"농축된 발사믹, 산미+단맛 균형, 점성 있음",,
215,흑식초,0,5,85,5,5,0,0,0,0,10,"숙성 발효 식초, 깊은 산미와 약한 감칠",,
216,산미 기반 가공 소스,5,5,80,5,0,5,0,5,0,15,"산미 중심 조미 소스, 향과 자극 보조",,
216.01,타바스코,5,5,85,0,0,40,0,10,0,10,"식초+고추 기반 산미 자극 소스, 강한 산미와 자극",,
216.02,스리라차,15,20,25,15,0,45,10,10,0,35,고추와 식초 기반의 달콤하고 점도 있는 핫소스,,
216.03,루이지애나 핫소스,10,10,45,0,0,55,0,5,0,10,식초 중심의 묽은 미국식 핫소스,,
216.04,버팔로소스,10,15,25,5,0,45,0,5,35,40,버터와 핫소스를 혼합한 미국식 매운 소스,,
216.05,페리페리소스,10,15,35,5,5,55,20,15,0,25,아프리카 계열 고추와 허브 풍미 기반의 매운 소스,,
220,구연산 계열 산미,0,0,95,5,0,0,5,0,0,5,밝고 상큼하며 즉각적으로 인지되는 산미,,
221,레몬,0,0,95,5,0,0,5,0,0,5,대표적인 밝고 날카로운 감귤 산미,,
222,라임,0,0,95,0,0,0,5,0,0,5,더 날카롭고 초록 향 인상이 있는 감귤 산미,,
223,유자,0,0,90,5,0,0,10,0,0,5,향이 강하게 동반되는 감귤 산미,,
224,오렌지,0,0,60,40,0,0,5,0,0,10,"과일 산미와 단맛이 균형 잡힌 감귤류, 향이 부드럽고 상큼함",,
225,자몽,0,0,70,20,20,0,5,0,0,10,"산미와 쓴맛이 함께 오는 감귤류, 강한 상큼함과 쌉쌀함 특징",,
226,구연산,0,0,95,0,5,0,0,0,0,5,강한 산도를 빠르게 부여하는 분리 산미 성분,,
230,젖산 계열 산미,0,5,80,0,0,0,0,0,0,10,부드럽고 둥근 산미를 중심으로 하는 발효/유제품 계열,,
231,요거트,5,10,75,5,0,0,0,0,5,30,"유제품 발효 산미, 부드러운 질감과 약한 단맛",,
232,치즈,10,25,40,5,5,0,0,0,15,30,발효된 유제품으로 감칠 중심 + 약한 산미,,
233,발효 채소,30,10,75,0,5,0,5,0,0,20,절임/발효 채소에서 오는 산미 + 염도,,
233.01,김치,40,15,70,0,5,5,5,5,0,25,"발효 채소 대표, 산미+감칠+자극 복합",,
233.02,케이퍼,50,5,80,0,5,0,5,0,0,10,"절임 채소형 산미, 염도와 산미로 마무리 조정",,
234,기타 젖산 재료,5,10,70,5,0,0,0,0,5,25,유제품 기반 산미 재료군,,
234.01,사워크림,5,10,75,5,0,0,0,0,10,30,"산미가 강조된 크림, 부드러운 유화 질감",,
234.02,버터밀크,5,5,70,5,0,0,0,0,5,20,"묽은 유제품 산미, 가벼운 질감",,
240,사과산/주석산 계열 산미,0,0,85,10,0,0,5,0,0,10,과일성 인상과 함께 오는 입체적 산미,,
241,사과산 중심 산미,0,0,70,30,0,0,5,0,0,10,부드럽고 둥글며 지속되는 산미,,
241.01,사과,0,0,65,35,0,0,5,0,0,10,"산미와 단맛이 균형 잡힌 과일, 부드러운 산미",,
241.02,배,0,0,40,60,0,0,5,0,0,10,"단맛 중심, 산미는 약하고 부드러움",,
242,주석산 중심 산미,0,0,80,20,5,0,5,0,0,10,날카롭고 구조감 있는 산미,,
242.01,포도,0,0,70,30,5,0,5,0,0,10,"산미와 단맛, 약한 쌉쌀함 동반",,
242.02,와인,0,5,75,10,5,0,5,0,0,10,"발효된 포도 기반 산미, 깊이와 구조감",,
243,복합 유기산 산미,0,0,85,10,10,0,5,0,0,10,여러 산이 결합된 입체적인 산미,,
243.01,오미자,0,0,85,10,10,0,10,0,0,10,신맛 중심에 단맛·쓴맛·떫은맛이 결합된 복합 산미,,
243.02,석류,0,0,85,10,0,0,5,0,0,10,과일향과 산미가 함께 오는 선명한 산미,,
243.03,타마린드,0,5,90,10,0,0,0,5,0,10,짙고 복합적인 과일성 산미,,
250,분리 산미,0,0,100,0,0,0,0,0,0,0,순수 산미 기능만 직접 부여하는 계열,,
250.01,구연산 분말,0,0,100,0,0,0,0,0,0,0,즉각적이고 강한 순수 산미 성분,,
250.02,주석산 분말,0,0,100,0,0,0,0,0,0,0,포도계 산미 특성을 가지는 순수 산 성분,,
250.03,사과산 분말,0,0,100,0,0,0,0,0,0,0,과일계 산미 특성을 가지는 순수 산 성분,,
250.04,젖산 분말,0,0,95,0,0,0,0,0,0,0,부드러운 인상의 순수 산 성분,,
300,단맛,0,0,0,100,0,0,0,0,0,5,단맛 카테고리 대표값,,
310,당류,0,0,0,95,0,0,0,0,0,5,결정 또는 분말 형태의 직접적인 단맛,,
310.00,설탕,0,0,0,95,0,0,0,0,0,10,대표적인 단맛 조절 재료,,
311,백설탕,0,0,0,100,0,0,0,0,0,0,가장 순수하고 직선적인 기준 단맛,,
312,원당,0,0,0,95,0,0,0,0,0,5,정제도가 낮아 약한 복합감이 있는 단맛,,
313,슈가파우더,0,0,0,95,0,0,0,0,0,5,빠르게 퍼지고 녹는 분말형 단맛,,
314,흑당/흑설탕,0,5,0,90,5,0,0,0,0,10,당밀 인상과 약한 쌉쌀함이 동반된 단맛,,
320,시럽,0,0,0,90,0,0,0,0,0,15,점성과 코팅감을 동반하는 액상 단맛,,
321,물엿,0,0,0,85,0,0,0,0,0,20,단맛보다 점성과 윤기를 부여하는 시럽,,
322,올리고당,0,0,0,80,0,0,0,0,0,15,상대적으로 부드럽고 완만한 단맛,,
323,카라멜시럽,0,5,0,90,5,0,0,0,0,15,가열 인상과 약한 쓴맛이 있는 시럽형 단맛,,
324,과일시럽,0,0,5,85,0,0,5,0,0,15,과일향과 약한 산미가 동반되는 시럽형 단맛,,
324.01,케찹,5,5,15,70,0,0,0,0,0,15,단맛과 산미가 함께 작동하는 복합 시럽형 소스,,
325,흑당시럽,0,5,0,90,5,0,0,0,0,20,당밀감과 점성이 강화된 흑당 계열 시럽,,
326,요리용 발효 시럽,0,5,10,50,0,0,5,0,0,10,"발효 기반 액상 단맛, 알코올로 풍미 확산 및 잡내 보정",,
326.01,맛술,0,5,10,55,0,0,5,0,0,10,"단맛+알코올 기반 조미액, 잡내 제거와 맛 완화 역할 (가열 시 알코올 휘발)",,
326.02,미림,5,10,5,35,0,0,0,5,0,15,단맛과 발효향을 가진 일본식 조리용 술,,
326.03,청주,0,5,5,10,0,0,0,5,0,5,조리 시 잡내 제거와 향 조절에 사용되는 곡물 발효주,,
330,천연 감미,0,0,0,90,0,0,0,0,0,10,자연 유래 원료 기반의 복합 단맛,,
331,꿀,0,0,0,90,0,0,5,0,0,15,향과 점성이 함께 있는 대표 천연 단맛,,
332,메이플시럽,0,0,0,85,0,0,0,0,0,15,나무 향 인상이 약하게 있는 부드러운 시럽형 단맛,,
333,아가베시럽,0,0,0,85,0,0,0,0,0,15,깔끔하고 비교적 중립적인 천연 시럽 단맛,,
334,코코넛 슈가,0,0,0,85,5,0,0,0,0,10,약한 카라멜감과 쌉쌀함이 있는 천연 단맛,,
335,대추 시럽,0,0,0,85,0,0,5,0,0,20,과일성 향과 농축감을 가진 천연 단맛,,
340,과일 기반 단맛,0,0,5,80,0,0,5,0,0,10,산미와 향이 함께 오는 자연 과일 단맛,,
341,신선 과일,0,0,10,75,0,0,5,0,0,10,수분감과 산미가 함께 있는 생과 단맛,,
342,건과일,0,0,5,85,0,0,5,0,0,15,농축된 당도와 점착감이 있는 과일 단맛,,
343,과일 퓨레,0,0,5,80,0,0,5,0,0,15,질감과 과육감이 남아 있는 과일 단맛,,
344,과일 농축액,0,0,5,90,0,0,5,0,0,10,농축으로 당도가 높아진 과일 단맛,,
344.01,매실청,0,5,35,65,0,0,10,0,0,20,매실의 산미와 단맛을 농축한 시럽 형태 재료,,
345,과일 주스,0,0,10,75,0,0,5,0,0,5,액상으로 퍼지는 가벼운 과일 단맛,,
346,과일 잼/프리저브,0,0,5,90,0,0,5,0,0,20,당도와 점성이 함께 강한 보존형 과일 단맛,,
347,과일 소스,0,0,5,85,0,0,5,0,0,15,과일 향미와 점성을 가진 소스형 단맛,,
350,대체 감미료,0,0,0,95,0,0,0,0,0,0,설탕을 대체해 단맛 기능을 부여하는 계열,,
351,인공 감미료,0,0,0,100,0,0,0,0,0,0,강한 단맛을 직접 부여하는 인공 감미 계열,,
351.01,아스파탐,0,0,0,100,0,0,0,0,0,0,대표적인 고감도 인공 감미료,,
351.02,수크랄로스,0,0,0,100,0,0,0,0,0,0,직접적이고 강한 단맛의 인공 감미료,,
352,천연 대체 감미료,0,0,0,95,0,0,0,0,0,0,자연 유래 대체 감미 계열,,
352.01,스테비아,0,0,0,95,5,0,0,0,0,0,강한 단맛과 약한 잔미가 동반될 수 있는 감미료,,
353,당알코올,0,0,0,85,0,0,0,0,0,5,깔끔하지만 약간 차가운 인상의 대체 단맛,,
353.01,자일리톨,0,0,0,85,0,0,0,0,0,5,청량감 인상이 동반될 수 있는 당알코올 단맛,,
353.02,에리스리톨,0,0,0,80,0,0,0,0,0,0,가볍고 청량한 인상이 있는 당알코올 단맛,,
354,고강도 감미료,0,0,0,100,0,0,0,0,0,0,소량으로 강한 단맛을 내는 고감도 감미 계열,,
355,기능성 감미료,0,0,0,85,0,0,0,0,0,5,기능성과 감미를 함께 고려한 복합 감미 계열,,
400,쓴맛,0,0,0,0,100,0,0,0,0,5,쓴맛 카테고리 대표값,,
410,원재료 쓴맛,0,0,0,0,85,0,5,0,0,5,자연 상태에서 발생하는 기본 쓴맛,,
411,카페인 쓴맛,0,0,0,0,95,0,0,0,0,0,카페인 기반의 직선적이고 강한 쓴맛,,
412,폴리페놀 쓴맛,0,0,0,0,90,0,5,0,0,5,떫은감과 함께 오는 복합 쓴맛,,
413,채소 쓴맛,0,0,0,0,80,0,5,0,0,10,채소에서 오는 부드럽고 자연스러운 쓴맛,,
420,가공 쓴맛,0,0,0,0,90,0,0,5,0,5,조리/가공 과정에서 형성되는 쓴맛,,
421,가열 쓴맛,0,0,0,0,85,0,0,5,0,5,과도한 열 처리로 발생하는 쓴맛,,
422,농축 쓴맛,0,0,0,0,90,0,0,0,0,5,농축 과정에서 강화된 쓴맛,,
423,추출 쓴맛,0,0,0,0,95,0,0,0,0,0,추출 과정에서 직접적으로 얻어지는 강한 쓴맛,,
500,매운맛 / 자극,0,0,0,0,0,100,0,0,0,5,자극 카테고리 대표값,,
510,캡사이신 자극,0,0,0,0,0,95,0,5,0,5,고추 계열의 퍼지는 열감 자극,,
511,생고추,0,0,5,0,0,85,5,5,0,10,수분과 풋향이 있는 부드러운 매운 자극,,
512,건고추,0,0,0,0,0,90,0,5,0,10,건조로 응축된 매운 자극,,
512.01,페퍼론치노,0,5,0,0,0,65,10,20,0,10,건조된 소형 고추 기반의 강한 매운 향신 재료,,
513,고추분말,0,5,0,0,5,70,10,15,0,20,건조 고추를 분말화한 대표적인 매운 조미 재료,,
513.01,고춧가루,0,0,0,0,0,90,0,5,0,10,일반 고춧가루,,
513.02,케이엔페퍼,0,0,0,0,0,95,0,5,0,5,강도가 높은 캡사이신 자극,,
513.03,베트남 매운 고춧가루,0,0,0,0,0,95,0,5,0,10,고강도 매운맛 중심 고춧가루,,
513.04,파프리카가루,0,0,0,5,0,20,0,5,0,5,"색과 향 중심, 자극은 매우 약함",,
514,칠리페이스트,0,5,5,5,0,85,0,5,0,15,복합 맛과 점성이 결합된 자극,,
514.01,불닭소스,45,55,10,35,0,95,0,40,15,25,강한 캡사이신 자극과 감칠·단맛이 결합된 복합 매운 소스,,
520,피페린 자극,0,0,0,0,5,85,0,10,0,5,후추 계열의 짧고 선명한 자극,,
521,후추,0,0,0,0,15,45,5,65,0,5,피페린 기반의 자극과 향을 가진 대표 향신료,,
522,화이트페퍼,0,0,0,0,5,85,0,5,0,5,더 직선적이고 강한 자극,,
523,그린페퍼,0,0,0,0,0,70,5,10,0,10,신선하고 부드러운 자극,,
530,진저롤 자극,0,0,0,5,0,80,5,5,0,10,따뜻하게 퍼지는 자극,,
531,생강,0,0,0,5,0,80,5,5,0,10,신선한 향과 따뜻한 자극,,
532,건생강,0,0,0,0,0,85,0,5,0,10,건조로 강화된 자극,,
533,생강가루,0,0,0,0,0,85,0,5,0,5,분말형 자극,,
534,생강페이스트,0,0,0,5,0,80,5,5,0,15,질감과 수분이 있는 자극,,
535,갈랑갈,0,0,0,0,0,75,5,10,0,10,이국적인 향과 자극,,
540,겨자 자극,0,0,5,0,0,90,5,5,0,5,코로 치고 올라오는 휘발성 자극,,
541,겨자씨,0,0,0,0,0,75,0,10,0,10,씨앗 상태의 자극 잠재력,,
542,머스타드,0,0,5,5,0,75,0,5,0,15,산미와 점성이 결합된 자극,,
543,와사비,0,0,0,0,0,95,5,5,0,0,즉각적이고 강한 코 자극,,
544,홀스래디시,0,0,0,0,5,90,5,5,0,5,거칠고 지속감 있는 자극,,
550,마비 자극,0,0,0,0,0,85,5,10,0,5,얼얼하고 전기적인 자극,,
551,화자오 / 산초,0,0,0,0,0,85,5,10,0,10,대표적인 마비 자극,,
552,산쇼,0,0,0,0,0,80,10,10,0,5,향이 더 강한 마비 자극,,
553,화자오 오일,0,0,0,0,0,85,0,10,10,10,오일 매체로 확산되는 자극,,
554,산초가루,0,0,0,0,0,85,5,10,0,5,분말 형태의 빠른 자극,,
600,허브/향채,0,0,0,0,0,0,100,0,0,5,허브와 향채 카테고리 대표값,,
610,연한 잎 허브,0,0,0,0,0,0,95,0,0,5,부드럽고 신선한 잎 중심의 허브,,
610.01,파슬리,0,0,0,0,5,0,85,0,0,5,신선하고 그린한 마감형 허브,,
610.02,바질,0,0,0,5,0,0,90,0,0,10,달콤한 향과 존재감이 강한 허브,,
610.03,고수,0,0,0,0,0,0,95,5,0,5,개성이 강한 이국적 향 허브,,
610.04,민트,0,0,0,0,0,5,90,0,0,5,청량감과 상쾌함이 강한 허브,,
610.05,딜,0,0,0,0,0,0,85,5,0,5,섬세하고 산뜻한 향 허브,,
610.06,차이브,0,0,0,0,0,0,80,5,0,5,가벼운 파향의 잎 허브,,
610.07,타라곤,0,0,0,0,5,0,90,5,0,5,아니스 계열 향 허브,,
610.08,처빌,0,0,0,0,0,0,80,0,0,5,부드럽고 섬세한 허브,,
610.09,보리지,0,0,0,0,0,0,75,0,0,5,오이 같은 청량 향 허브,,
610.10,라벤더,0,0,0,5,0,0,90,0,0,5,플로럴 향 중심 허브,,
610.11,히비스커스,0,0,10,0,0,0,85,0,0,5,산미와 꽃향이 있는 허브,,
610.12,장미,0,0,0,5,0,0,90,0,0,5,달콤한 꽃향 허브,,
610.13,네스티리움,0,0,0,0,0,10,85,0,0,5,매운 향이 있는 꽃 허브,,
620,목질/강한 허브 향,0,0,0,0,5,0,95,5,0,10,강하고 구조적인 허브 향,,
621,송진/수목향 허브,0,0,0,0,5,0,95,5,0,10,수목향과 송진감이 강한 허브,,
621.01,로즈마리,0,0,0,0,5,0,95,5,0,10,대표적인 수목향 허브,,
621.02,솔잎,0,0,0,0,5,0,90,5,0,10,강한 수목향 특성,,
622,드라이/세이보리 허브,0,0,0,0,5,0,90,5,0,10,건조하고 짭짤한 향 허브,,
622.01,타임,0,0,0,0,5,0,90,5,0,10,범용성이 높은 허브,,
622.02,세이지,0,0,0,0,10,0,90,5,0,10,쌉싸름하고 진한 향,,
622.03,월계수잎,0,0,0,0,5,0,85,5,0,5,은은하게 지속되는 향,,
623,따뜻한 우디 허브,0,0,0,0,0,0,90,10,0,10,따뜻하고 감싸는 향,,
623.01,오레가노,0,0,0,0,5,0,90,10,0,10,강한 존재감 허브,,
623.02,마조람,0,0,0,0,0,0,85,5,0,10,부드러운 우디 향,,
630,향채 채소,0,5,0,5,0,0,85,0,0,10,향과 채소 기능을 함께 가짐,,
631,구근/쪽 향채,0,10,0,5,0,5,85,5,0,10,강한 향의 베이스 채소,,
631.01,양파,0,10,0,10,0,0,75,0,0,15,단맛과 향을 동시에 제공,,
631.01.01,양파분말,0,25,0,20,0,0,10,10,0,15,건조 양파를 분말화한 감칠·향미 보강 재료,,
631.02,마늘,0,10,0,0,5,10,85,5,0,10,자극과 향이 강한 핵심 향채,,
631.02.01,마늘분말,0,30,0,5,5,10,15,15,0,10,건조 마늘을 분말화한 향미 강화 재료,,
631.02.02,다진마늘,0,40,0,5,5,15,30,15,0,30,잘게 분쇄되어 즉각적인 향과 자극을 내는 마늘 형태,,
631.02.03,구운마늘,0,45,0,20,5,0,20,15,0,25,가열로 단맛과 깊은 풍미가 강화된 마늘,,
631.03,샬롯,0,5,0,10,0,0,80,0,0,10,부드럽고 단맛 있는 향채,,
632,잎/파형 향채,0,5,0,0,0,0,85,5,0,10,파형 구조의 향채,,
632.01,대파,0,5,0,5,0,0,80,5,0,10,익히면 단맛 증가,,
632.02,쪽파,0,0,0,0,0,0,80,5,0,5,가벼운 향채,,
632.03,부추,0,0,0,0,0,5,85,5,0,10,강한 향과 약한 자극,,
632.04,달래,0,0,0,0,0,5,85,5,0,5,야생 향채,,
633,줄기형 향채,0,5,0,0,0,0,80,0,0,10,줄기 기반 향채,,
633.01,셀러리,0,0,0,0,5,0,85,5,0,10,초록향 + 쌉쌀함,,
633.02,미나리,0,0,0,0,0,0,85,5,0,10,맑은 수생 향,,
634,잎채소형 향채,0,0,0,0,5,0,85,5,0,10,채소+향 기능 혼합,,
634.01,아루굴라,0,0,0,0,10,5,85,5,0,10,쌉쌀 + 매운 향,,
634.02,크레송,0,0,0,0,5,5,80,5,0,10,수생 매운 향,,
634.03,쑥갓,0,0,0,0,5,0,90,5,0,10,강한 향채,,
640,뿌리/리좀 향채,0,0,0,0,0,5,90,10,0,10,뿌리 기반 향 채소,,
640.01,레몬그라스,0,0,5,0,0,0,90,5,0,10,감귤향 줄기 향채,,
